00319_01, 48
00323_01, 30
00323_05, 30
00324_01, 30
00327_01, 153
00329_01, 68
00330_01, 386
00330_02, 20
00333_02, 11
00334_01, 30
00337_01, 21
00343_01, 72
00347_01, 2
00348_01, 10
00355_01, 7
00358_01, 1
00360_01, 80
00361_01, 1
00361_05, 13
00362_01, 22
00363_01, 22
00368_01, 1
00369_01, 160
00371_01, 30
00373_02, 66
00373_06, 150
00376_01, 100
00377_01, 49
00378_02, 1
00379_01, 12
00384_01, 13
00388_01, 27
00400_01, 3
00408_01, 7
00415_01, 2
00418_01, 19
00419_01, 51
00420_01, 170
00421_01, 57
00425_01, 9
00426_01, 10
00427_01, 33
00432_01, 72
00433_01, -1
00434_01, 4
00437_01, 165
00437_03, 5
00442_01, 62
00443_04, -1
00443_07, 40
00446_01, 92
00449_01, 8
00451_01, 6
00456_01, 206
00459_01, 37
00463_01, 298
00466_01, 30
00467_01, 57
00468_01, 19
00469_01, 51
00470_01, 23
00472_08, 327
00483_01, 25
00493_01, 400
00494_01, 60
00496_01, 99
00497_01, 50
00497_08, 11
00499_01, 106
00501_01, 8
00502_01, 162
00508_02, 1
00510_01, 95
00511_01, 10
00512_01, 1
00515_01, 443
00516_01, 70
00523_01, 1
00525_01, 40
00526_01, 22
00527_01, 34
00532_01, 84
00534_01, -2
00534_07, 112
00538_01, 4
00539_01, 68
00545_01, 10
00546_01, 40
00546_04, 3
00552_01, 50
00552_02, 1
00553_01, 1
00559_01, 9
00561_01, 21
00564_01, 63
00565_10, 13
00567_01, 26
00574_01, 8
00575_01, 7
00576_01, 2
00579_01, 12
00580_01, -1
00581_01, 5
00582_01, 43
00583_01, 2
00587_01, 16
00588_01, 15
00590_01, 22
00592_03, -1
00596_01, 26
00598_01, 9
00599_05, 43
00602_01, 31
00607_01, 43
00608_01, 9
00610_01, 150
00612_01, 34
00613_01, 142
00614_01, 22
00615_01, 27
00620_01, 10
00622_01, 117
00623_01, 14
00624_01, 18
00625_04, 10
00626_01, 28
00627_01, 263
00628_11, 36
00632_01, 35
00633_01, 2
00641_01, 23
00642_01, 5
00643_02, 17
00643_04, 100
00648_01, 130
00654_01, 5
00657_10, -3
00657_21, 3289
00659_01, 25
00665_02, 34
00666_01, 41
00674_06, 84
00675_01, 167
00679_01, 115
00680_01, 15
00682_01, 4
00690_01, 1
00691_01, 10
00692_01, 133
00694_01, 91
00696_01, 43
00699_01, 274
00700_01, 182
00703_01, 3
00709_01, 38
00712_07, 1696
00719_02, 5
00722_01, 144
00726_01, 9
00727_01, 9
00731_01, 10
00735_01, 135
00736_02, 11
00743_01, 5
00743_04, 5
00753_01, 6
00754_01, 291
00757_02, 3
00758_01, 19
00759_01, 9
00761_01, 4
00767_01, 11
00772_01, 19
00773_01, 18
00775_01, 25
00777_01, 107
00778_01, -4
00778_06, 80
00779_01, 155
00782_02, 19
00783_01, 65
00784_01, 6
00786_01, 76
00787_01, 107
00788_01, 3
00789_01, 326
00790_01, 2
00793_01, 15
00793_07, 11
00794_01, 21
00795_01, 10
00798_01, 15
00802_01, 31
00804_01, 12
00807_01, 5
00808_01, 11
00810_01, 329
00815_01, 72
00824_01, 1
00830_01, 13
00833_01, 30
00836_01, 549
00836_04, 111
00837_04, 270
00840_01, 18
00842_01, 8
00843_02, 3
00847_01, -2
00848_01, 67
00849_01, 70
00852_03, 37
00854_01, 10
00855_01, 56
00855_03, 80
00860_01, 1
00861_01, 170
00861_03, 74
00861_04, 2
00866_01, 32
00867_01, 400
00871_01, 22
00879_01, 78
00880_01, 4
00884_01, 302
00885_01, 111
00886_01, 39
00891_01, 3
00892_01, 2
00893_01, 5
00896_01, 11
00898_01, 7
00899_01, 106
00909_01, 84
00910_01, 287
00912_01, 3
00914_06, 537
00916_01, 10
00924_01, 245
00926_01, 56
00935_01, -1
00937_01, 270
00938_01, 107
00941_01, 171
00945_01, 17
00952_01, 13
00962_01, 8
00963_01, 9
00965_01, 237
